time,x,y,v,w,yaw
38.8,0.498246,-0.00741477,0.012928404452130917,0.0,-0.000831187
39.2,0.499115,-0.0074155,0.012078604206466916,0.0,-0.000831187
39.5,0.499623,-0.00741592,0.010814703729829529,0.0,-0.000831187
39.9,0.500322,-0.0074165,0.009957983458667533,0.0,-0.000831187
40.2,0.500807,-0.0074169,0.00940454326907682,0.0,-0.000831187
40.6,0.501435,-0.00741743,0.00872889299008136,0.0,-0.000831187
40.8999,0.501859,-0.00741778,0.008208812846661074,0.0,-0.000831187
41.2999,0.502348,-0.00741819,0.007347702535256758,0.0,-0.000831187
41.6999,0.502891,-0.00741864,0.007130852453785,0.0,-0.000831187
41.9999,0.50318,-0.00741888,0.006378712199753835,0.0,-0.000831187
42.3999,0.503542,-0.00741918,0.005585321949732973,0.0,-0.000831187
42.6999,0.503893,-0.00741947,0.005703341981356734,0.0,-0.000831187
43.0999,0.504105,-0.00741965,0.004583131598635091,0.0,-0.000831187
43.3999,0.504313,-0.00741982,0.004247251476810886,0.0,-0.000831187
43.7999,0.504508,-0.00741998,0.003410561210100754,0.0,-0.000831187
44.0999,0.504712,-0.00742015,0.0033514611272386094,0.0,-0.000831187
44.4999,0.505142,-0.00742051,0.004166781463926527,0.0,-0.000831187
44.7999,0.505354,-0.00742069,0.003960641395820761,0.0,-0.000831187
45.1999,0.505699,-0.00742097,0.004081861380257676,0.0,-0.000831187
45.4999,0.505926,-0.00742116,0.004013001401692604,0.0,-0.000831187
45.8999,0.50618,-0.00742138,0.003700631283900682,0.0,-0.000831187
46.2999,0.506415,-0.00742157,0.003365641197239505,0.0,-0.000831187
46.5999,0.506601,-0.00742173,0.0032581911138352226,0.0,-0.000831187
46.9999,0.506778,-0.00742188,0.0027565609768362503,0.0,-0.000831187
47.2999,0.506925,-0.007422,0.002646710944004494,0.0,-0.000831187
47.6998,0.507032,-0.00742209,0.0021101607685247354,0.0,-0.000831187
47.9998,0.507151,-0.00742219,0.002146050717701288,0.0,-0.000831187
48.3998,0.507227,-0.00742225,0.0017243005670319268,0.0,-0.000831187
48.6998,0.507328,-0.00742234,0.0016786705797741644,0.0,-0.000831187
49.0998,0.507437,-0.00742243,0.0015582105431150761,0.0,-0.000831187
49.3998,0.50744,-0.00742243,0.0010511103696251099,0.0,-0.000831187
49.7998,0.50751,-0.00742249,0.0008926213058465251,0.0,-0.000831187
50.1998,0.507618,-0.00742258,0.0010646903702027566,0.0,-0.000831187
50.4998,0.507658,-0.00742261,0.0010055103878548197,0.0,-0.000831187
50.8998,0.507655,-0.00742261,0.0005566611964149653,0.0,-0.000831187
51.1998,0.507694,-0.00742264,0.0005979001824642788,0.0,-0.000831187
51.5998,0.507764,-0.0074227,0.0006946652230061356,0.0,-0.000831187
51.8998,0.507728,-0.00742267,0.0002844520941928432,0.0,-0.000831187
52.2998,0.507828,-0.00742275,0.0006260992097004712,0.0,-0.000831187
52.5998,0.507799,-0.00742273,0.00026814006465612647,0.0,-0.000831187
52.9998,0.507867,-0.00742279,0.00043953615676951184,0.0,-0.000831187
53.3998,0.507867,-0.00742279,0.000225865076374887,0.0,-0.000831187
53.6998,0.507904,-0.00742282,0.0003590641491474218,0.0,-0.000831187
54.0997,0.50787,-0.00742279,4.759802269656594e-05,0.0,-0.000831187
54.3997,0.507936,-0.00742284,0.0003450861127000346,0.0,-0.000831187
54.7997,0.507968,-0.00742287,0.00037170510623500284,0.0,-0.000831187
55.0997,0.507939,-0.00742285,9.524364541564927e-05,0.0,-0.000831187
55.4997,0.50794,-0.00742285,2.96865e-05,0.0,-0.000831187
55.7997,0.507971,-0.00742287,0.0001908490511896968,0.0,-0.000831187
